,,,,,,,,,,,
,Romaji,Hiragana/Katakana,Kanji,Traducción Español,Traducción Inglés,Ejemplo,Ejemplo en español,Ejemplo en inglés,Nota en español,Nota en inglés,Minna no Nihongo
,Kaimonoshimasu,かいものします,買り物ます,Hacer compras,Go shopping,,,,,,Lección 13
,Jokujishimasu,しょくじします,食事ほす,Comer,Eat,,,,,,Lección 13
,Sanposhimasu,さんぽします,散歩します,Pasear (por el parque),Walk around,,,,,,Lección 13
,Taken [na],たいへん「な」,大変 [な],"Duro, difícil","Hard, difficult",,,,,,Lección 13
,Hoshī,ほしい,欲しい,Querer tener algo,Wish,,,,,,Lección 13
,Sabishī,さびしい,寂しい,Sentirse solo,Feel lonely,,,,,,Lección 13
,Hirui,ひるい,広い,"Amplio, espacioso","Wide, spacious",,,,,,Lección 13
,Semai,せまい,狭い,"Pequeño, angosto","Small, narrow",,,,,,Lección 13
,Shiyakujo,しやくしょ,市役所,"Ayuntamiento, municipalidad","City Hall, Municipality ",,,,,,Lección 13
,Keizai,けいざい,経済,Economía,Economics,,,,,,Lección 13
,Bijutsu,びじゅつ,美術,Bellas artes,Fine arts,,,,,,Lección 13
,Tsuri,つり,釣り,Pesca,Fishing,,,,,,Lección 13
,Sukī,スキー,,Ski,Skiing,,,,,,Lección 13
,Kaigi,かいぎ,会議,"Reunión, asamblea",Meeting,,,,,,Lección 13
,Tōroku,とうろく,登録,Registro,Registration,,,,,,Lección 13
,Jūmatsu,じゅうまつ,週末,Fin de semana,Weekend,,,,,,Lección 13
,~Goro,〜ごろ,,"Hacia ___ (tiempo, hora)",Around,,,,,,Lección 13
,Nanika,なにか,何か,Algo,Something,,,,,,Lección 13
,Dokoka,どこか,,Algún lugar,Somewhere,,,,,,Lección 13
,Onakagasukimashita,おなかがすきました,,Tengo hambre,I'm hungry,,,,,,Lección 13
,Onakagaippaidesu,おなかがいっぱいです,,"Estoy lleno, satisfecho",I'm full,,,,,,Lección 13
,Nodogawakimashita,のどがかわきました,,Tengo sed,I'm thirsty,,,,,,Lección 13
,Sōdesune,そうですね,,Estoy de acuerdo,I agree,,,,,,Lección 13
,Sōshimajō,そうしましょう,,Hagamos eso,Let's do that / Let's do so,,,,,,Lección 13
,Gochūmonha,ごちゅうもんは？,ご注文は?,¿Qué desea pedir?,What is your order / What would you like to order?,,,,,,Lección 13
,Teishoku,ていしょく,定食,"Menú fijo, plato fijado",Set meal,,,,,,Lección 13
,[Shōshō] o machi kudasai,「しょうしょう」おまちください,少々」お待ちください,Por favor espere [un momento],Please wait [for a moment],,,,,,Lección 13
,Betsubetsuni,べつべつに,別々に,Por separado,Separately,,,,,,Lección 13
,Machinonaka,まちのなか,町の中,En la calle,In the town / In the street,,,,,,Lección 13
,Hakubutsukan,はくぶつかん,博物館,Museo,Museum,,,,,,Lección 13
,Eigakan,えいがかん,映画館,Cine,Movie theater ,,,,,,Lección 13
,Dōbutsuen,どうぶつえん,動物園,Parque Zoológico,Zoo,,,,,,Lección 13
,Shokubutsuen,しょくぶつえん,植物園,Jardín botánico,Botanical garden,,,,,,Lección 13
,Yūenchi,ゆうえんち,遊園地,Parque de diversiones,Amusement park,,,,,,Lección 13
,Otera,おてら,お寺,Templo budista,Buddhist temple,,,,,,Lección 13
,Jinjo,じんじゃ,神社,Templo sintoísta,Shinto shrine,,,,,,Lección 13
,Kyōkai,きょうかい,教会,Iglesia,Church,,,,,,Lección 13
,Mosuku,モスク,,Mezquita,Mosque,,,,,,Lección 13
,Taishikan,たいしかん,大使館,Embajada,Embassy,,,,,,Lección 13
,Nyūkokukanrinkyoku,にゅうこくかんりきょく,入国管理局,Dirrección de inmigración,Immigration Office,,,,,,Lección 13
,Keisantsusho,けいさつしょ,警察署,Comisaria,Police station,,,,,,Lección 13
,Kōban,こうばん,交番,Casilla de policía,Police box,,,,,,Lección 13
,Shōbōsho,しょうぼうしょ,消防署,Estación de bomberos,Fire station,,,,,,Lección 13
,Kōkō,こうこう,高校,"Bachillerato, escuela secundaria superior",(Senior) High school,,,,,,Lección 13
,Chūgakkō,ちゅうがっこう,中字校,Escuela secundaria inferior,Middle school,,,,,,Lección 13
,Shōgakkō,しょうがっこう,小学校,Escuela primaria,Primary school / Elementary school,,,,,,Lección 13
,Yōchien,ようちえん,幼稚園,"Jardín de infancia, kindergarten",Kindergarten,,,,,,Lección 13
,Nikuya,にくや,肉屋,Carnicería,Butcher's shop,,,,,,Lección 13
,Panya,パンや,パン屋,Panadería,Bakery / Pastry shop,,,,,,Lección 13
,Sakanaya,さかなや,魚屋,Pescadería,Fish market,,,,,,Lección 13
,Sakaya,さかや,酒屋,Licorería,Liquor store,,,,,,Lección 13
,Yaoya,やおや,八百屋,Verdulería,Greengrocer,,,,,,Lección 13
,Konbini,コンビニ,,Tienda de conveniencia,Convenience store​,,,,,,Lección 13
,Sūpā,スーパー,,Supermercado,Supermarket,,,,,,Lección 13
,Depāto,デパ一ト,,"Grandes almacenes, departamento",Department,,,,,,Lección 13
,Tsukemasu,つけます,,"Prender, encender",Turn on,,,,,,Lección 14
,Keshimasu,けします１,消します,Apagar,Turn off,,,,,,Lección 14
,Akemasu,あけます,開けます,Abrir,Open,,,,,,Lección 14
,Shimemasu,しめます,閉めます,Cerrar,Close,,,,,,Lección 14
,Isogimasu,いそぎます１,急ぎます,Apurarse,Hurry,,,,,,Lección 14
,Machimasu,まちます１,待ちます,Wsperar,Wait,,,,,,Lección 14
,Tomemasu,とめます,止めます,"Parar, detenerse, estacionar","Stop, park",,,,,,Lección 14
,magarimasu,まがります１,曲がります,Doblar (a la derecha),Turn (right/left),,,,,,Lección 14
,Tochimasu,とちます １,持ちます,Tener algo en la mano,Hold (in one's hand),,,,,,Lección 14
,Torimasu,とります１,取ります,"Agarrar, pasarle a alguien algo","Grab, pass something",,,,,,Lección 14
,Tetsugaimasu,てつだいます１,手伝います,Ayudar,Help,,,,,,Lección 14
,Yobimasu,よびます１,呼びます,Llamar,Call,,,,,,Lección 14
,Hanashimasu,はなします１,話します,Hablar,Talk,,,,,,Lección 14
,Misemasu,みせます,見せます,Mostrar,Show,,,,,,Lección 14
,Oshiemasu [jū sho wo ~],おしえます [じゅうしょを ~],教えます [住所を ~],Dar una dirección,Tell an address,,,,,,Lección 14
,Hajimemasu,はじめます,始めます,Empezar,Start ,,,,,,Lección 14
,Furimasu,ふります１[あめが ~],降ります [雨が ~],Llover,Raining,,,,,,Lección 14
,Kopīshimasu,コピーします,,Sacar fotocopias,Make copies,,,,,,Lección 14
,Jūshimasu,じゅうしょ,住所,Dirección,Address,,,,,,Lección 14
,Chizu,ちず,地図,Mapa,Map,,,,,,Lección 14
,Shio,しお,塩,Sal,Salt,,,,,,Lección 14
,Satō,さとう,砂糖,Azúcar,Sugar,,,,,,Lección 14
,Yomikata,よみかた,読み方,Cómo se lee ____,How do you read / Pronunciation of,,,,,,Lección 14
,~Kata,〜かた,〜方,"Cómo ____ , Modo de _____, Manera de _____","How _____, Way of _____",,,,,,Lección 14
,Yukkuri,ゆっくり,,Despacio,Slowly,,,,,,Lección 14
,Tsugi,つぎ,次,Siguiente,Next,,,,,,Lección 14
,Sugu,すぐ,,Inmediatamente,Immediately / At once,,,,,,Lección 14
,Mata,また,又,De nuevo,Again,,,,,,Lección 14
,Otode,あとで,後で,"Después, mas tarde",Afterwards,,,,,,Lección 14
,Mōsukoshi,もうすこし,もう少し,Un poco más,A bit more,,,,,,Lección 14
,Mō~,もう〜,,Más,More,,,,,,Lección 14
,Īdesu yo,いいですよ,,"Con gusto, okay.","Okay, alright",,,,,,Lección 14
,Sā,さあ,,¡Vamos!,Here we go! / Let's do this!,,,,Expresión utilizada para alentar o animar a alguien a hacer algo,Expression show to motivate someone to do something.,Lección 14
,Are?,あれ,,¿¡Qué!?,What!?,,,,Expresión utlizada ante una sorpresa,Expression used to show surprise,Lección 14
,Shingō wo migi e magatte kudasai,しんごうをみぎへまがってください,信号を右へ曲がってください,Doble a la derecha en el cruce con semáforo,Turn right at the traffic light,,,,,,Lección 14
,Massugu,まっすぐ,,Derecho / Recto,Straight,,,,,,Lección 14
,Kore de onegai shimasu,これでおねがいします,これでお願いします,Cóbreme de esto,Please charge me this,,,,,,Lección 14
,Otsuri,おつり,お釣り,Cambio,Change,,,,,,Lección 14
,Eki,えき,駅,Estación de tren,Train station,,,,,,Lección 14
,Kippūriba,きっぷうりば,切符り場,Ventanilla de boletos,Ticket office,,,,,,Lección 14
,Jidōkenbaiki,じどうけんばいき,白動券完機,Máquina de despacho de boletos,Automatic ticket vending machine,,,,,,Lección 14
,Seusanki,せいさんき,精算機,Máquina de reajuste de tarifa,Adjustment machine,,,,,,Lección 14
,Kaisatsuhuchi,かいさつぐち,改札口,Garita,Ticket gate,,,,,,Lección 14
,Teguchi,てぐち,出口,Salida,Exit,,,,,,Lección 14
,Iriguchi,いりぐち,入口,Entrada,Entrance,,,,,,Lección 14
,Higashiguchi,ひがしぐち,東口,Salida de Este,East exit,,,,,,Lección 14
,Nashiguchi,にしぐち,西口,Salida de Oeste,West exit,,,,,,Lección 14
,Minamiguchi,みなみぐち,南口,Salida de Sur,South exit,,,,,,Lección 14
,Kitaguchi,きたぐち,北口,Salida de Norte,North exit,,,,,,Lección 14
,Chūōguchi,ちゅうおうぐち,中央口,Salida Central,Central exit,,,,,,Lección 14
,[Puratto]hōmu,[プラット]ホーム,,"Andén, plataforma",Platform,,,,,,Lección 14
,Baiten,ばいてん,売店,Quiosco,Kiosk,,,,,,Lección 14
,Koinrokkā,コインロッカー,,Consigna automática,Coin locker,,,,,,Lección 14
,Takushinoriba,タクシのりば,タクシー乗り場,Parada de taxi,Taxi stop,,,,,,Lección 14
,Basutāminaru,バスターミナル,,Terminal de bus,Bus terminal,,,,,,Lección 14
,Basutei,バスてい,バス停,Parada de bus,Bus stop,,,,,,Lección 14
,Tokkyū,とっきゅう,特急,Tren super-exprés,Limited express train,,,,,,Lección 14
,Kyūkō,きゅうこう,急行,Tren exprés,Express train,,,,,,Lección 14
,Kaisoku,かいそく,快速,Tren de servicio rápido,Rapid-service train / Rapid train,,,,,,Lección 14
,Junkyū,じゅんきゅう,準急,Tren semi-exprés,Semi-express train / Local express train / Sub express,,,,,,Lección 14
,Futsū,ふつう,普通,Tren local,Local train,,,,,,Lección 14
,Jugokuhyō,じごくひょう,時刻表,Horario,Schedule / Timetable,,,,,,Lección 14
,~Hatsu,~はつ,〜発,Salida~,Departure ~,,,,,,Lección 14
,~Chiyaku,~ちやく,〜着,"Llegada, arribado~",Arrival / Arriving,,,,,,Lección 14
,[Tokyō]iki,[ときょう]いき,[東京]行き,Para [Tokio],To [Tokyo],,,,,,Lección 14
,Teikiken,ていきけん,定期芬,Pase válido durante un mes o más entre dos estaciones o paradas,Commuter pass / Season ticket,,,,,,Lección 14
,Kaisūken,かいすうけん,回数芬,"Boleto, cupón",Ticket / Coupon,,,,,,Lección 14
,Katamichi,かたみち,片道,Un viaje,One-way trip,,,,,,Lección 14
,Ōfuku,おうふく,往復,Ida y vuelta,Roun-trip ticket,,,,,,Lección 14
,Tachimasu,たちます１,立ちます,Pararse,Stand up,,,,,,Lección 15
,Suwarimasu,すわります１,座ります,Sentarse,Sit down,,,,,,Lección 15
,Tsukaimasu,つかいます１,使います,Usar,Use,,,,,,Lección 15
,Okimasu,おきます１,置きます,"Poner, colocar","Put, place",,,,,,Lección 15
,Tsukurimasu,つくります１,作ります,"Hacer, producir","Make, produce",,,,,,Lección 15
,Urimasu,うります１,売ります,Vender,Sell,,,,,,Lección 15
,Shirimasu,しります１,知ります,Enterarse,Be aware of / Notice,,,,,,Lección 15
,Sumimasu,すみます１,住みます,"Vivir, residir","Live, reside",,,,,,Lección 15
,Kenkyūshimasu,けんきゅうします３,研究します,Investigar (lit. hacer investigación),Do research,,,,,,Lección 15
,Shitteimasu,しっています,知っています,"Saber, conocer",Being aware of / Noticing,,,,,,Lección 15
,Sundeimasu,すんでいます,住んでいます,Estar viviendo en ___,Live / Reside,,,,,,Lección 15
,Shiryō,しりょう,資料,"Materiales, datos",Materials / Data,,,,,,Lección 15
,Fuku,ふく,服,Ropa,Clothes,,,,,,Lección 15
,Seihin,せいひん,製品,Productos,Manufactured goods / Products,,,,,,Lección 15
,Senmon,せんもん,専門,Campo de especialidad,Speciality / Area of expertice,,,,,,Lección 15
,Haisha,はいしゃ,歯医者,"Dentista, consultorio odontológico",Dentist,,,,,,Lección 15
,Tokoya,とこや,床屋,"Peluquero, peluquería",Barbershop,,,,,,Lección 15
,Dokushin,どくしん,独身,Solterx,Single person,,,,,,Lección 15
,Dokuni,とくに,特に,En particular,In particular / particularly,,,,,,Lección 15
,Omoidashimasu,おもいだします１,思い出します,Acordarse / Recordar,Remember,,,,,,Lección 15
,Gokazoku,ごかぞく,ご家族,Su familia,Your family,,,,,,Lección 15
,Irasshaimasu,いらっしゃいます１,,Estar ,Be ,,,,Forma honorífica de います,Honorific of います,Lección 15
,Shokugyō,しょくぎょう,職業,Profesión,Profession,,,,,,Lección 15
,Kōmuin,こうむいん,公務員,Funcionario público,Government worker,,,,,,Lección 15
,Ekīn,えきいん,駅員,Funcionario de estación,Station attendant,,,,,,Lección 15
,Yūbinkyokuin,ゆうびんきょくいん,郵便局員,Funcionario de correo,Post-office clerk / Post-office worker,,,,,,Lección 15
,Tenin,てんいん,店員,Dependiente de tienda,Clerk / Shop assistant,,,,,,Lección 15
,Chōrishi,ちょうりし,調理師,Cocinero,Chef / Cook,,,,,,Lección 15
,Riyōshi,りようし,理容師,Barbero,Barber,,,,,,Lección 15
,Biyōshi,びようし,美容師,Peluquero,Hairdresser / Hair stylist,,,,,,Lección 15
,Bengoshi,べんごし,弁護士,Abogado,Lawyer,,,,,,Lección 15
,Kangofu,かんごふ,看護婦,Enfermera,Nurse,,,,,,Lección 15
,Untenshu,うんてんしゅ,運車云手,Chofer,Chauffeur / Driver,,,,,,Lección 15
,Keisatsukan,けいさつかん,警察官,"Policía, comisario",Police officer,,,,,,Lección 15
,Kaigōkan,かいこうかん,外交官,Diplomático,Diplomat,,,,,,Lección 15
,Seijika,せいじか,政治家,Político,Politician,,,,,,Lección 15
,Gaka,がか,画家,Pintor,Painter,,,,,,Lección 15
,Sakka,さっか,作家,Novelista,Novelist,,,,,,Lección 15
,Ongakuka,おんがくか,音楽家,Músico,Musician,,,,,,Lección 15
,Kejchikuka,けんちくか,建築家,Arquitecto,Architect,,,,,,Lección 15
,Enjinia,工ンジニア,,Ingeniero,Engineer,,,,,,Lección 15
,Dezainā,デザイナー,,"Diseñador, modista",Designer,,,,,,Lección 15
,Jānarisuto,ジャーナリスト,,Periodista,Journalist,,,,,,Lección 15
,Kashu,かしゅ,歌手,Cantante,Singer,,,,,,Lección 15
,Haiyū,はいゆう,俳優,"Actor, actriz","Actor, actress",,,,,,Lección 15
,Supōtsusenshu,スポーツせんしゅ,スポ.ーツ選手,"Deportista, atleta",Athlete,,,,,,Lección 15
,Norimasu,のります１,乗ります,Subir [en tren],"Get on (a train, plane, bus, etc.) / Get in / Board",,,,,,Lección 16
,Orimasu,おります,降ります,Bajarse [del tren],Get off [a train],,,,,,Lección 16
,Norikaemasu,のりかえます,乗り換えます,"Hacer trasbordo (de trenes, buses, etc.)",Transfer (trains) / Change (trains),,,,,,Lección 16
,[Shawā wo] Abimasu,[シャワーを] あびます,[シャワーを] 浴びます,Ducharse,Take a shower,,,,"Normalmente esta expresión se usa combinanda con [シャワーを] y de esta manera significa ""Ducharse""","Normally this expression is used with [シャワーを] and that way it means ""Take a shower""",Lección 16
,Iremasu,いれます,入れます,"Incorporar, insertar",Put in / Let in,,,,,,Lección 16
,Dashimasu,だします１,出します,"Extraer, retirar",Take out / Get out,,,,,,Lección 16
,[Daigaku ni] hairumasu,[だいがくに] はいります,[大学に] 入ります,Ingresar [a la universidad],Go [to college],,,,,,Lección 16
,[Daigaku ni] demasu,[だいがくに] でます,[大学に] 出ます,Salir / Graduarse [de la universidad],Get out [from college],,,,,,Lección 16
,Yamemasu,[かいしゃを] やめます,[会社を] ,Dimitir [ la compañía] / Dejar de ___,"Resign, Quit [the company] / Stop ___",,,,,,Lección 16
,Oshimasu,おします１,押します,"Presionar, empujar",Push / Press,,,,,,Lección 16
,Wakai,わかい,若い,Joven,Young,,,,,,Lección 16
,Nagai,ながい,長い,Largo,Long,,,,,,Lección 16
,Mijikai,みじかい,短い,Corto,Short,,,,,,Lección 16
,Okarumasu,あかるい,明るい,Claro,Bright / Well-lit,,,,,,Lección 16
,Kurai,くらい,暗い,Oscuro,Dark,,,,,,Lección 16
,Sega takai,セガ たかい,背が 高い,Alto (altura),Tall (height),,,,,,Lección 16
,Atamagaī,あたまがいい,頭がいい,Inteligente,Intelligent,,,,,,Lección 16
,Karada,からだ,体,Cuerpo,Body,,,,,,Lección 16
,Atama,あたま,頭,Cabeza,Head,,,,,,Lección 16
,Kami,かみ,髪,Cabello,Hair,,,,,,Lección 16
,Kao,かお,顔,Cara,Face,,,,,,Lección 16
,Me,め,目,Ojo,Eye,,,,,,Lección 16
,Mimi,みみ,耳,Orejas,Ears,,,,,,Lección 16
,Kuchi,くち,口,Boca,Mouth,,,,,,Lección 16
,Ha,は,歯,Diente,Tooth / Teeth,,,,,,Lección 16
,Onaka,おなか,お腹,Estómago,Belly / Stomach,,,,,,Lección 16
,Ashi,あし,足,"Pierna, pie",Leg / Foot,,,,,,Lección 16
,Midori,みどり,緑,Espacio verde,Greenery,,,,,,Lección 16
,Dōyatte,どうやって,,"Cómo, de qué forma","How , In what way",,,,,,Lección 16
,Dono,どの,,Cuál,Which,,,,,,Lección 16
,"[Īe,] madamadadesu",[いいえ、] まだまだです,,"[No,] todavía falta poco.","No, there is still a long way to go",,,,Expresión de modestia que se pronuncia al ser elogiado,Expression of modesty that is pronounced when being praised,Lección 16
,Ohikidashi desu ka,おひきだしですか,お引き出しですか,¿Va a retirar dinero?,Would you like to make a withdrawal?,,,,,,Lección 16
,Mazu,まず,,Primero,First,,,,,,Lección 16
,Kyasshukādo,キャッシュカード,,Tarjeta bancaria,Cash card,,,,,,Lección 16
,Anshō bangō,あんしょうばんごう,暗証番号,Código personal de identificación,Personal identification number (PIN),,,,,,Lección 16
,Tsugi ni,つぎに,次に,A continación,Next,,,,,,Lección 16
,Kingaku,きんがく,金額,Importe de dinero,Amount of money,,,,,,Lección 16
,Kakunin,かくにん,確認,Confirmación,Verification,,,,,,Lección 16
,Kakuninshimasu,かくにんします,確認します,Confirmar,Confirm,,,,,,Lección 16
,Botan,ボタン,,Botón,Button,,,,,,Lección 16
,O azukeire,おあずけいれ,お預け入れ,Depósito,Deposit,,,,,,Lección 16
,O furikomi,おふりこみ,お振り込み,Pago,Payment,,,,,,Lección 16
,O furikae,おふりかえ,お振り替え,Transferencia,Transfer,,,,,,Lección 16
,O hikidashi,おひきだし,お引き出し,Retiro,Withdrawal,,,,,,Lección 16
,Tsūchō kinyū,つうちょうきにゅう,通帳記入,Actualización de registro de libreta,Passbook entry,,,,,,Lección 16
,Zandaka shōkai,ざんだかしょうかい,残高照会,Consulta de estado de cuenta,Balance inquiry,,,,,,Lección 16
,Oboemasu,おぼえます,覚えます,Memorizar,Memorize,,,,,,Lección 17
,Wasuremasu,わすれます,忘れます,Olvidar,Forget,,,,,,Lección 17
,Nakushimasu,なくします１,無くします,Perder,Lose,,,,,,Lección 17
,Dashimasu,だします１,出します,"Entregar, presentar",Deliver / Present,,,,,,Lección 17
,Haraimasu,はらいます１,払います,Pagar,Pay,,,,,,Lección 17
,Kaeshimasu,かえします１,返します,Devolver,Return,,,,,,Lección 17
,Dekakemasu,でかけます,出かけます,Salir,Go out,,,,,,Lección 17
,Nugimasu,ぬぎます１,脱ぎます,Quitarse (algo),Take off (something),,,,,,Lección 17
,Motteimasu,もっていきます１,持って行きます,Llevar (algo),Take (something),,,,,,Lección 17
,Motekimasu,もてきます３,持って来ます,Traer,Bring,,,,,,Lección 17
,Shinpaishimasu,しんぱいします３,心配します,Preocuparse,Worry / Concern,,,,,,Lección 17
,Zangyoshimasu,ざんぎょします３,残業します,Trabajar horas extras,Work overtime,,,,,,Lección 17
,Shutchōshimasu,しゅっちょうします３,出張します,Ir de viaje de negocios,Business trip,,,,,,Lección 17
,Kusuriwonomimasu,くすりをのみます,[薬を〜] 飲みます,Tomar medicina,Take medicine ,,,,,,Lección 17
,Ofuronihairimasu,おふろにはいります,おふろに 入ります,Meterse a la ducha,Enter a bath,,,,,,Lección 17
,Taisetsu [na],たいせつ「な」,大切 [な],Importante,Important,,,,,,Lección 17
,Daijobu [na],だいじょぶ「な」,大丈夫 [な],Estar bien (sin problemas),Being alright/OK,,,,,,Lección 17
,Abunai,あぶない,危ない,Peligroso,Dangerous,,,,,,Lección 17
,Mondai,もんだい,問題,"Pregunta, problema","Question, problem",,,,,,Lección 17
,Kotae,こたえ,答え,Respuesta,Answer,,,,,,Lección 17
,Tenen,てんえん,禁煙,Prohibido fumar,No smoking,,,,,,Lección 17
,Kaze,かぜ,,Resfriado,Common cold,,,,,,Lección 17
,Netsu,ねつ,熱,Fiebre,Fever,,,,,,Lección 17
,Byōki,びょうき,病気,Enfermedad,Illness,,,,,,Lección 17
,Kusuri,くすり,薬,Medicación,Medicine,,,,,,Lección 17
,Ofuro,おふろ,,Baño,Bath,,,,,,Lección 17
,Uwagi,うわぎ,上着,Abrigo,Coat,,,,,,Lección 17
,Shitagi,したぎ,下着,Ropa interior,Underwear,,,,,,Lección 17
,Desukara,ですから,,"Entonces, por eso","So, therefore",,,,,,Lección 17
,Dōshimashitaka,どうしましたか,,¿Qué le pasa? / Cuál es el problema?,What's the problem?,,,,,,Lección 17
,[ga~] Itaidesu,[~ が] いたいです,[~ が] 痛いです,[Me] duele ~,[My ~] hurts,,,,,,Lección 17
,Nodo,のど,,Garganta,Throat,,,,,,Lección 17
,Odaijini,おだいじに,お大事に,Cuídese bien,Take care of yourself,,,,Expresión de simpatía que se dirige a enfermos y heridos,Expression of sympathy used on sick and hurt people,Lección 17
,Atamagaitai,あたまがいたい,頭か痛い,Dolor de cabeza,Headache,,,,,,Lección 17
,Onakagītai,おなかがいたい,おなかが痛い,Dolor de estómago,Stomachache,,,,,,Lección 17
,Hagaitai,はがいたい,歯が痛い,Dolor de muelas,Toothache,,,,,,Lección 17
,Netsugāru,ねつがある,熱がある,Tener fiebre,Have a fever,,,,,,Lección 17
,Sekigaderu,せきがでる,咳が出る,Tener tos,Have a cough,,,,,,Lección 17
,Hanamizugaderu,はなみずがでる,鼻水が出る,Moquear,Have a runny nose,,,,,,Lección 17
,Chigaderu,ちがでる,血が出る,Sangrar,Bleed,,,,,,Lección 17
,Hakikegaderu,はきけがでる,吐き気がする,Tener nauseas,Have nauseas,,,,,,Lección 17
,Samikegaderu,さむけがする,寒気がする,Tener escalofríos,Have chills,,,,,,Lección 17
,Memaigaderu,めまいがする,,Tener mareos,Feel dizzy,,,,,,Lección 17
,Geriwosuru,げりをする,下痢をする,Tener diarrea,Have diarrhea,,,,,,Lección 17
,Benbiwosuru,べんびをする,便秘をする,Estar estreñido,Be constipated,,,,,,Lección 17
,Kegawosuru,けがをする,,Estar herido,Get injured,,,,,,Lección 17
,Yakedowosuru,やけどをする,,Quemarse,Burn,,,,,,Lección 17
,Shokuyokuganai,しょくよくがない,食欲がない,No tener apetito,Have no appetite,,,,,,Lección 17
,Katagakoru,かたがこる,肩がこる,Tener hombros agarrotados,Have stiff shoulders,,,,,,Lección 17
,Karadagadarui,からだがだるい,体がだるい,Sentirse agotado,Feel exhausted,,,,,,Lección 17
,Kayui,かゆい,,Picar,Itch,,,,,,Lección 17
,Infuruenza,インフルエンザ,,"Gripe, influenza",The flu / Influenza,,,,,,Lección 17
,Mōchō,もうちょう,盲腸,Apendicitis,Appendicitis,,,,,,Lección 17
,Gikkurigoshi,ぎっくりごし,ぎっく腹,Hernia de disco,Herniated disc,,,,,,Lección 17
,Renga,れんざ,,Esguince,Sprain,,,,,,Lección 17
,Kossetsu,こっせつ,骨折,Fractura,Fracture,,,,,,Lección 17
,Futsugayoi,ふつかよい,二日酔い,"Resaca, cruda",Hangover,,,,,,Lección 17
,Dekimasu,できます,出来ます,"Poder, ser capaz de",Be able to ,,,,,,Lección 18
,r,あらいます,洗います,Lavar,Wash,,,,,,Lección 18
,Hikimasu,ひきます,弾きます,Tocar (instrumentos musicales de cuerda y piano),Play (a stringed or keyboard instrument),,,,,,Lección 18
,Utaimasu,うたいます,歌います,Cantar,Sing,,,,,,Lección 18
,Atsumemasu,あつめます,集めます,"Coleccionar, reunir","Collect , assemble",,,,,,Lección 18
,Sutemasu,すてます,捨てます,"Tirar, botar","Throw away, dump",,,,,,Lección 18
,Kaemasu,かえます,換えます ,"Cambiar, reemplazar","Change, replace",,,,,,Lección 18
,Untenshimasu,うんてんします,運転します,"Manejar, conducir (refiriéndose a automóviles)",Drive ,,,,,,Lección 18
,Yoyakushimasu,よやくします,予約します,Reservar,"Reserve, book",,,,,,Lección 18
,Kengakushimasu,けんがくします,見学します,Visitar un lugar para estudiar,Field trip,,,,,,Lección 18
,Piano,ピアノ,,Piano,Piano,,,,,,Lección 18
,- mētoru,- メートル,,- metro (s) (medición),- meter,,,,,,Lección 18
,Kokusai - ,こくさい -,国際,- internacional,International,,,,,,Lección 18
,Genkin,げんきん,現金,Dinero en efectivo,Cash,,,,,,Lección 18
,Shumi,しゅみ,趣味,"Aficiones, pasatiempo",Hobby,,,,,,Lección 18
,Nikki,にっき,日記,Diario (para registrar la vida cotidiana),Diary / Journal,,,,,,Lección 18
,[O] inori,[お] いのり,[お] 祈り,"Oración ( ~ を します : orar, rezar)",Prayer  ( ~ を します : pray),,,,,,Lección 18
,Kachō,かちょう,課長,Jefe de sección,Section head / Section manager,,,,,,Lección 18
,Buchō,ぶちょう,部長,Gerente de departamento,Department head,,,,,,Lección 18
,Shachō,しゃちょう,社長,"Presidente, gerente general de una empresa",Company president,,,,,,Lección 18
,Dōbutsu,どうぶつ,動物,Animal,Animal,,,,,,Lección 18
,Uma,うま,馬,Caballo,Horse,,,,,,Lección 18
,Hē,へえ,,"¡Ah, sí! (para expresar sorpresa o admiración)",What!? Really!? (Used when showing surprise or admiration),,,,Usado para mostrar sorpresa,Used when expressing surprise,Lección 18
,Sore wa omoshiroidesu ne,それはおもしろいですね,それは面白いですね,Eso es interesante,"That's interesting, isn't it?",,,,,,Lección 18
,Nakanaka,なかなか,,No fácil (se emplea con expresión negativa),Not easy (used with negatives),,,,,,Lección 18
,Bokujō,ぼくじょう,牧場,"Granja, rancho, estancia","Ranch, farm",,,,,,Lección 18
,Hontōdesuka,ほんとうですか,本当ですか,¿En serio? / ¿De veras?,Really!?,,,,,,Lección 18
,Zehi,ぜひ,,A toda costa,By all means,,,,,,Lección 18
,Tobimasu,とびます,飛びます,Volar,Fly,,,,,,Lección 18
,Tobimasu,とびます,跳びます,Saltar,Jump,,,,,,Lección 18
,Noborimasu,のぼります,登ります,Escalar,Climb,,,,,,Lección 18
,Hashirimasu,はしります,走ります,Correr,Run,,,,,,Lección 18
潜,Mogurimasu,もぐります,潜ります,Bucear,,,,,,,Lección 18
,Tobikomimasu,とびこみます,飛び込みます,Zambullirse,Dive into,,,,,,Lección 18
,Sakadachishimasu,さかだちします,逆立ちします,Pararse de manos / Pararse cabeza abajo,Do a handstand,,,,,,Lección 18
,Haimasu,はいます,這います,Gatear,Crawl,,,,,,Lección 18
,Kerimasu,けります,蹴ります,Patear,Kick,,,,,,Lección 18
,Furimasu,ふります,振ります,Agitar,Wave,,,,,,Lección 18
,Mochiagemasu,もちあげます,持ち上げます,Levantar,Lift,,,,,,Lección 18
